,FIPS,County or equivalent,State or equivalent,state_FIPS_prefix,Population,Area,Source,Timestamp,Area (sq mi)
0,1001,Autauga County,Alabama,1000,54571,"594.44 sq mi(1,540 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,594.44
1,1003,Baldwin County,Alabama,1000,182265,"1,589.78 sq mi(4,118 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,1589.78
2,1005,Barbour County,Alabama,1000,27457,"884.88 sq mi(2,292 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,884.88
3,1007,Bibb County,Alabama,1000,22915,"622.58 sq mi(1,612 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,622.58
4,1009,Blount County,Alabama,1000,57322,"644.78 sq mi(1,670 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,644.78
5,1011,Bullock County,Alabama,1000,10914,"622.80 sq mi(1,613 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,622.8
6,1013,Butler County,Alabama,1000,20947,"776.83 sq mi(2,012 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,776.83
7,1015,Calhoun County,Alabama,1000,118572,"605.87 sq mi(1,569 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,605.87
8,1017,Chambers County,Alabama,1000,34215,"596.53 sq mi(1,545 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,596.53
9,1019,Cherokee County,Alabama,1000,25989,"553.70 sq mi(1,434 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,553.7
10,1021,Chilton County,Alabama,1000,43643,"692.85 sq mi(1,794 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,692.85
11,1023,Choctaw County,Alabama,1000,13859,"913.50 sq mi(2,366 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,913.5
12,1025,Clarke County,Alabama,1000,25833,"1,238.46 sq mi(3,208 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,1238.46
13,1027,Clay County,Alabama,1000,13932,"603.96 sq mi(1,564 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,603.96
14,1029,Cleburne County,Alabama,1000,14972,"560.10 sq mi(1,451 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,560.1
15,1031,Coffee County,Alabama,1000,49948,"678.97 sq mi(1,759 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,678.97
16,1033,Colbert County,Alabama,1000,54428,"592.62 sq mi(1,535 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,592.62
17,1035,Conecuh County,Alabama,1000,13228,"850.16 sq mi(2,202 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,850.16
18,1037,Coosa County,Alabama,1000,11539,"650.93 sq mi(1,686 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,650.93
19,1039,Covington County,Alabama,1000,37765,"1,030.46 sq mi(2,669 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,1030.46
20,1041,Crenshaw County,Alabama,1000,13906,"608.84 sq mi(1,577 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,608.84
21,1043,Cullman County,Alabama,1000,80406,"734.84 sq mi(1,903 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,734.84
22,1045,Dale County,Alabama,1000,50251,"561.15 sq mi(1,453 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,561.15
23,1047,Dallas County,Alabama,1000,43820,"978.69 sq mi(2,535 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,978.69
24,1049,DeKalb County,Alabama,1000,71109,"777.09 sq mi(2,013 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,777.09
25,1051,Elmore County,Alabama,1000,79303,"618.48 sq mi(1,602 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,618.48
26,1053,Escambia County,Alabama,1000,38319,"945.08 sq mi(2,448 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,945.08
27,1055,Etowah County,Alabama,1000,104430,"534.99 sq mi(1,386 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,534.99
28,1057,Fayette County,Alabama,1000,17241,"627.66 sq mi(1,626 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,627.66
29,1059,Franklin County,Alabama,1000,31704,"633.82 sq mi(1,642 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,633.82
30,1061,Geneva County,Alabama,1000,26790,"574.41 sq mi(1,488 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,574.41
31,1063,Greene County,Alabama,1000,9045,"647.11 sq mi(1,676 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,647.11
32,1065,Hale County,Alabama,1000,15760,"643.94 sq mi(1,668 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,643.94
33,1067,Henry County,Alabama,1000,17302,"561.75 sq mi(1,455 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,561.75
34,1069,Houston County,Alabama,1000,101547,"579.82 sq mi(1,502 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,579.82
35,1071,Jackson County,Alabama,1000,53227,"1,077.87 sq mi(2,792 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,1077.87
36,1073,Jefferson County,Alabama,1000,658466,"1,111.28 sq mi(2,878 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,1111.28
37,1075,Lamar County,Alabama,1000,14564,"604.85 sq mi(1,567 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,604.85
38,1077,Lauderdale County,Alabama,1000,92709,"667.70 sq mi(1,729 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,667.7
39,1079,Lawrence County,Alabama,1000,34339,"690.68 sq mi(1,789 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,690.68
40,1081,Lee County,Alabama,1000,140247,"607.54 sq mi(1,574 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,607.54
41,1083,Limestone County,Alabama,1000,82782,"559.94 sq mi(1,450 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,559.94
42,1085,Lowndes County,Alabama,1000,11299,"715.91 sq mi(1,854 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,715.91
43,1087,Macon County,Alabama,1000,21452,"608.89 sq mi(1,577 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,608.89
44,1089,Madison County,Alabama,1000,334811,"801.59 sq mi(2,076 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,801.59
45,1091,Marengo County,Alabama,1000,21027,"976.88 sq mi(2,530 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,976.88
46,1093,Marion County,Alabama,1000,30776,"742.29 sq mi(1,923 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,742.29
47,1095,Marshall County,Alabama,1000,93019,"565.84 sq mi(1,466 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,565.84
48,1097,Mobile County,Alabama,1000,412992,"1,229.44 sq mi(3,184 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,1229.44
49,1099,Monroe County,Alabama,1000,23068,"1,025.67 sq mi(2,656 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,1025.67
50,1101,Montgomery County,Alabama,1000,229363,"784.25 sq mi(2,031 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,784.25
51,1103,Morgan County,Alabama,1000,119490,"579.34 sq mi(1,500 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,579.34
52,1105,Perry County,Alabama,1000,10591,"719.66 sq mi(1,864 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,719.66
53,1107,Pickens County,Alabama,1000,19746,"881.41 sq mi(2,283 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,881.41
54,1109,Pike County,Alabama,1000,32899,"672.09 sq mi(1,741 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,672.09
55,1111,Randolph County,Alabama,1000,22913,"580.55 sq mi(1,504 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,580.55
56,1113,Russell County,Alabama,1000,52947,"641.14 sq mi(1,661 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,641.14
57,1115,St. Clair County,Alabama,1000,83593,"631.90 sq mi(1,637 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,631.9
58,1117,Shelby County,Alabama,1000,195085,"784.93 sq mi(2,033 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,784.93
59,1119,Sumter County,Alabama,1000,13763,"903.89 sq mi(2,341 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,903.89
60,1121,Talladega County,Alabama,1000,82291,"736.78 sq mi(1,908 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,736.78
61,1123,Tallapoosa County,Alabama,1000,41616,"716.52 sq mi(1,856 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,716.52
62,1125,Tuscaloosa County,Alabama,1000,194656,"1,321.75 sq mi(3,423 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,1321.75
63,1127,Walker County,Alabama,1000,67023,"791.19 sq mi(2,049 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,791.19
64,1129,Washington County,Alabama,1000,17581,"1,080.21 sq mi(2,798 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,1080.21
65,1131,Wilcox County,Alabama,1000,11670,"888.50 sq mi(2,301 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,888.5
66,1133,Winston County,Alabama,1000,24484,"612.98 sq mi(1,588 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alabama,2020-03-24 16:33:39.581584,612.98
0,2013,Aleutians East Borough[a],Alaska,2000,2938,"6,985 sq mi(18,091 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alaska,2020-03-24 16:33:39.885369,6985.0
1,2020,"Anchorage, Municipality of[a][c]",Alaska,2000,291845,"1,707 sq mi(4,421 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alaska,2020-03-24 16:33:39.885369,1707.0
2,2060,Bristol Bay Borough[a],Alaska,2000,869,"482 sq mi(1,248 km2)",https://en.wikipedia.org/wiki/List_of_counties_in_Alaska,2020-03-24 16:33:39.885369,482.0
